0,1,0,1,1,2,1,3,1,16,0,0,1,0,2,1,0,2,1,0,5,1,3,1,0,0,3,4,1,0,1,1,0,3,6,0,1,2,0,2,0,1,0,1,2,1,0,1,1,0,1,6,0,1,1,0,0,3,6,0,0,4,0,0,0,2,3,4,1,3,1,5,0,0,2,1,0,0,5,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,7,1,1,3,0,3,0,0,0,1,0,0,2,7,0,3,1,0,1,0,1,0,3,1,4,0,0,1,1,1,1,2,0,1,5,0,0,0,2,5,1,0,0,7,2,1,1,0,0,1,0,0,2,2,0,2,1,1,1,1,2,2,2,3,2,0,0,0,0,1,0,1,0,0,0,3,2,1,2,1,1,0,1,2,0,1,0,1,1,0,1,1,2,0,0,0,0,1,1,5,8,4,1,3,2,2,2,0,0,0,0,3,1,7,2,0,5,1,5,2,0,1,5,1,0,3,0,1,0,0,0,0,0,0,0,0,4,1,1,3,6,1,2,0,4,1,28,0,0,0,3,1,2,2,0,0,3,6,5,3,1,2,1,0,1
2,2,1,4,1,1,7,1,1,5,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,1,1,3,0,0,3,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,2,1,0,0,0,2,0,1,1,0,1,2,1,1,1,0,0,4,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,2,1,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,2,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,3,1,1,1,0,0,2,0,1,0,1,1,2,1,0,0,0,1,0,0,0,1,4,1,0,0,3,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,2,1,0,0,1,2,0,2,0,1,1,2,2,0,1,1,0,3,0,1,1,0,2,0,0,1,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,1,0,26,0,0,0,0,0,1,2,1,0,1,2,0,4,1,0,0,0,0
4,1,0,1,0,1,0,0,1,2,0,0,0,1,2,0,0,1,0,0,1,2,1,0,0,0,0,2,2,0,2,1,0,1,2,2,2,0,1,1,2,0,0,2,1,0,3,1,1,0,3,0,0,0,1,1,0,1,1,1,1,2,0,0,0,1,1,2,0,3,0,2,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1,6,1,0,2,0,1,0,2,1,0,2,1,0,0,0,1,1,0,1,1,2,0,2,0,0,0,1,1,1,2,0,3,4,1,2,2,2,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,1,0,0,1,2,0,1,3,1,0,2,0,0,0,0,0,2,0,4,4,1,0,0,0,0,1,3,1,0,0,4,0,0,2,0,0,0,0,1,0,1,0,2,0,0,2,2,1,0,1,0,0,1,2,0,3,1,1,0,1,3,1,0,1,1,2,2,0,2,2,0,2,1,1,0,0,0,4,0,0,2,0,2,2,0,0,1,0,1,0,0,3,0,1,1,1,0,0,0,2,1,23,0,0,0,1,0,1,0,1,1,1,2,4,6,0,1,1,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,2,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,1,4,0,5,1,1,19,0,0,0,3,0,1,0,0,0,0,1,0,1,1,1,0,0,9,0,1,2,2,2,1,1,1,0,1,1,2,0,1,2,2,0,0,0,1,1,1,0,2,1,0,2,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,6,1,1,0,0,0,1,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,2,0,3,1,0,0,0,0,0,0,0,1,4,0,0,1,2,5,0,0,2,1,1,0,0,0,0,0,0,0,2,1,0,3,0,0,4,0,0,1,0,0,0,0,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,2,3,0,2,0,0,0,1,1,1,1,1,1,3,0,1,0,0,0,1,2,0,9,1,0,0,0,1,1,3,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,2,0,23,0,0,0,1,0,2,2,4,2,1,0,1,5,2,3,0,0,1
0,1,0,0,2,0,1,0,6,0,0,0,0,2,2,2,0,0,0,1,0,0,1,2,3,1,0,0,1,0,2,4,1,2,1,1,1,4,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,2,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,9,0,0,0,0,1,1,0,2,0,1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,2,0,7,1,1,0,0,0,1,0,0,0,1,0,2,1,5,7,0,0,1,0,3,0,8,1,0,0,1,0,0,0,1,3,0,0,2,0,1,0,14,1,0,0,15,6,2,1,7,0,0,2,0,0,0,0,3,0,0,0,0,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,7,1,0,0,1,0,2,2,2,0,4,1,2,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,27,1,0,0,0,0,1,2,0,1,4,2,1,4,0,0,1,0,1
0,0,0,0,2,0,2,0,0,11,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,1,1,0,0,1,0,0,4,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,5,0,0,0,0,0,1,2,0,1,1,0,1,2,1,0,0,0,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1
0,1,3,1,1,2,0,1,1,2,0,0,0,3,2,0,7,0,1,0,2,1,1,2,1,2,2,2,1,2,0,0,1,2,1,1,1,0,1,0,0,5,0,1,0,1,2,0,0,0,1,1,1,0,2,1,0,1,1,1,1,3,0,0,1,2,1,4,1,2,2,0,5,0,1,0,2,0,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,2,1,0,0,1,2,1,0,0,0,1,0,1,0,1,4,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,3,3,1,1,1,1,1,3,1,0,0,1,0,1,0,0,3,1,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,1,2,0,2,0,4,2,0,1,0,2,2,1,1,1,0,0,0,2,2,0,1,0,1,1,2,0,0,1,0,1,0,1,2,0,0,3,0,1,1,7,0,5,0,2,1,18,1,0,0,1,0,1,1,1,1,2,1,2,7,0,5,3,1,0
0,1,0,1,0,4,3,1,1,4,0,0,0,2,3,1,3,0,0,1,3,1,0,1,0,1,1,4,0,1,2,0,0,2,0,0,0,1,2,2,0,0,0,0,0,0,1,1,0,1,5,4,0,2,0,0,0,0,0,1,2,7,0,0,2,2,0,3,2,3,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,4,1,0,1,0,0,1,1,2,0,1,0,0,0,1,0,1,1,0,0,0,0,1,2,1,2,3,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,3,1,1,0,4,0,0,0,0,0,0,0,4,2,2,1,1,2,0,3,0,0,1,1,1,0,0,0,2,1,1,0,0,0,0,0,7,1,1,2,1,1,3,1,0,0,0,0,2,1,2,1,2,1,1,0,2,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,3,0,6,1,1,0,28,0,0,1,1,0,3,0,0,0,0,3,0,6,2,1,1,0,1
2,0,1,0,1,0,1,1,0,3,1,0,0,1,2,2,1,1,0,3,1,1,0,4,2,0,1,0,0,1,0,2,2,3,2,1,0,0,3,2,1,1,2,0,2,0,2,3,2,4,0,0,1,0,4,1,0,1,1,2,0,2,0,0,0,0,3,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,2,0,0,1,0,0,4,0,2,0,1,0,1,2,1,0,2,0,2,1,0,1,2,3,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,2,3,2,4,0,0,2,3,0,0,2,0,0,2,2,0,0,1,0,0,2,0,1,0,2,0,1,1,1,1,0,3,0,0,0,0,0,0,1,0,0,0,1,1,3,1,0,2,1,0,0,0,0,2,1,1,0,0,0,0,3,0,1,0,3,0,0,4,1,0,2,4,3,0,1,2,1,0,3,1,0,2,1,1,1,1,2,1,1,2,2,0,0,0,0,1,1,0,1,2,1,2,0,0,2,3,0,0,23,0,0,0,0,0,1,0,1,1,1,2,0,10,2,2,1,2,1
3,1,0,2,1,0,2,0,0,5,0,3,0,1,6,4,3,0,0,1,4,2,1,1,1,1,0,3,0,0,0,4,5,0,1,2,1,0,1,0,3,1,1,2,0,0,0,1,2,0,1,1,0,0,0,3,0,0,5,0,1,4,0,0,1,0,2,2,0,2,0,2,3,0,2,0,1,0,5,0,0,0,1,0,1,1,1,0,1,0,4,0,2,0,2,1,5,1,0,0,1,1,0,0,0,4,2,1,0,0,1,1,2,1,1,1,4,0,5,2,0,0,4,3,0,3,2,1,0,1,0,0,0,1,0,0,0,3,2,0,2,1,1,0,0,1,0,1,0,0,0,1,1,0,0,4,0,2,2,0,0,2,0,0,1,2,0,0,1,2,2,0,1,3,0,2,0,1,0,0,1,1,1,2,2,2,1,0,0,0,0,0,1,4,0,5,0,3,3,6,1,0,2,5,0,3,0,4,3,0,3,1,2,0,2,1,2,2,2,2,0,1,4,1,1,1,1,1,0,0,2,0,0,3,2,0,1,0,1,1,12,2,0,0,0,0,2,1,3,1,2,2,2,5,1,5,0,1,0
0,0,1,2,1,0,2,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,3,2,0,1,0,0,1,2,0,1,3,1,2,3,1,0,0,5,0,3,0,1,0,1,0,0,1,0,6,0,0,0,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,5,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,3,0,2,1,0,1,4,1,0,0,0,0,1,0,0,0,3,0,0,0,1,5,1,5,0,0,0,1,0,0,7,0,0,0,0,1,0,0,2,1,0,2,4,1,0,1,0,0,0,0,2,0,0,0,2,0,0,5,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,0,0,0,2,1,0,3,1,0,1,1,2,0,0,0,0,0,0,0,2,0,1,0,3,1,2,0,5,0,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,14,0,0,1,1,0,0,0,0,1,1,3,1,10,0,0,0,0,1
1,0,0,0,1,3,1,1,0,0,0,0,0,1,1,1,3,4,1,0,2,1,0,2,3,2,0,0,0,1,2,2,1,1,1,0,0,0,3,0,1,0,1,1,2,0,1,2,1,1,4,2,1,0,0,1,0,2,0,0,0,5,0,0,1,2,2,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,3,0,1,0,0,2,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,2,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,2,1,2,2,2,1,0,0,1,0,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,0,1,3,0,1,0,0,1,2,3,1,1,1,0,0,0,0,3,1,0,1,1,1,1,0,0,0,0,0,3,0,0,0,2,1,2,0,0,1,1,0,2,1,0,1,0,4,0,2,1,2,0,4,1,2,1,1,1,0,0,0,1,0,0,0,1,2,2,1,2,1,0,3,0,1,0,17,1,0,0,1,1,0,1,1,1,1,2,1,13,0,2,0,3,1
1,0,1,1,1,2,1,1,1,0,0,0,0,1,1,1,2,3,1,0,2,2,0,3,3,2,1,1,0,1,2,1,0,1,2,0,0,0,3,0,1,1,1,1,1,0,1,1,1,0,2,3,1,0,0,1,0,1,1,1,0,4,0,1,1,2,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,3,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,2,2,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,4,0,1,0,1,0,1,0,0,1,0,0,0,2,1,2,3,1,1,1,1,1,0,0,3,0,0,1,1,2,1,1,0,0,0,1,3,0,0,0,3,2,1,0,0,1,1,1,3,1,1,1,0,2,0,2,1,1,0,4,1,2,1,1,3,0,0,0,1,0,0,0,0,2,2,2,1,1,0,3,0,1,1,18,1,0,0,3,0,0,0,1,1,0,1,1,14,0,3,0,3,0
2,1,1,0,2,2,0,1,2,2,0,1,0,2,1,2,3,2,1,1,2,1,0,0,0,0,2,2,0,0,1,0,1,2,2,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,1,3,0,0,1,2,1,2,2,1,0,4,0,0,3,0,2,3,0,2,0,0,4,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,0,7,0,0,1,0,2,2,2,0,2,0,2,2,0,0,0,1,1,0,0,0,1,0,0,2,0,0,1,1,0,3,1,1,0,0,0,1,0,0,3,0,5,0,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,1,0,1,0,6,1,0,0,1,2,3,3,2,0,0,1,1,2,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,5,1,1,1,4,0,4,0,0,0,21,1,0,0,1,0,0,2,2,0,0,0,1,4,2,5,0,0,0
0,0,0,2,1,0,1,0,1,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,1,0,0,3,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,3,0,1,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,2,2,0,1,0,0,0,6,1,0,0,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0
1,1,1,1,2,5,7,0,3,5,0,0,0,2,5,0,3,3,0,0,3,2,0,0,0,3,2,3,0,0,0,1,0,0,2,2,1,1,1,1,3,1,0,1,0,0,0,1,1,1,3,5,0,0,0,4,0,2,2,1,1,6,0,1,3,0,1,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0,0,5,3,1,0,0,4,1,0,0,1,0,0,0,0,2,0,2,0,2,0,0,3,0,0,0,0,1,0,1,0,5,0,0,4,2,0,0,0,0,1,4,0,0,1,0,2,0,1,3,0,3,4,1,0,2,0,1,3,0,0,0,0,1,0,0,0,4,0,0,2,1,0,0,1,0,0,0,1,5,2,1,1,0,0,0,1,5,1,2,0,2,0,6,0,1,2,1,4,3,1,4,1,1,1,0,1,0,4,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,6,0,1,1,3,0,6,0,2,1,41,0,1,0,0,0,0,1,3,1,0,1,0,6,0,3,0,1,0
2,1,0,1,1,3,4,0,2,1,0,2,0,1,1,1,0,0,1,0,1,2,1,1,1,2,1,1,0,0,1,6,0,1,3,3,1,3,1,1,0,2,0,0,1,0,0,0,0,0,2,2,0,2,1,0,0,2,1,1,1,1,0,0,6,0,0,2,0,20,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,17,0,0,2,0,0,0,2,2,1,1,0,1,0,0,6,0,0,8,0,5,0,2,0,0,2,0,0,8,0,0,3,0,0,9,0,0,0,3,0,6,0,1,0,0,0,1,0,0,0,4,0,1,0,9,4,4,0,0,1,1,0,11,4,0,0,0,1,1,0,0,3,0,0,2,0,1,1,23,2,0,0,5,7,0,2,6,0,1,4,1,0,0,0,3,0,0,0,0,1,1,2,0,3,0,0,1,2,2,0,1,0,0,0,0,1,1,1,3,9,5,5,0,1,0,1,0,0,0,6,1,1,4,0,2,0,2,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,2,76,0,0,0,0,1,3,1,1,8,3,1,8,5,0,0,2,0,0
13,17,0,1,0,2,0,1,4,0,1,0,0,12,0,0,2,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,0,0,1,1,0,14,0,0,0,0,1,0,1,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,11,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,4,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,5,0,2,2,0,1,1,0,1,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,1,0,1,2,4,2,12,0,1,0,1,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,17,0,1,0,0,0,2,0,1,1,0,0,0,2,0,1,0,0,0
2,6,5,4,1,14,5,3,1,3,0,1,0,14,3,1,3,3,0,0,2,6,3,3,2,4,4,8,0,1,2,1,3,1,6,4,0,7,7,7,3,2,0,3,0,0,5,0,1,3,3,10,0,0,1,1,0,6,4,10,1,3,2,1,9,0,2,2,0,4,2,2,3,2,5,4,0,0,0,0,0,0,3,0,2,0,0,9,1,0,1,0,3,1,6,1,1,6,0,1,0,11,0,2,1,0,3,4,1,2,0,0,3,2,2,6,1,0,4,2,0,1,5,3,1,6,0,4,3,4,0,0,5,0,3,1,0,5,1,5,3,6,1,3,1,1,2,5,1,0,0,0,3,1,5,2,2,6,9,0,0,9,0,0,1,0,2,3,0,1,2,3,2,5,3,2,1,1,0,0,0,1,0,0,1,4,6,2,1,1,0,2,1,4,4,2,3,2,0,3,1,0,1,5,3,5,2,12,7,1,2,2,6,2,7,1,4,1,5,2,1,4,0,4,1,1,0,5,0,0,16,0,1,4,2,0,10,1,2,2,119,0,0,0,0,0,3,1,3,0,1,1,5,28,5,3,3,2,0
0,3,1,14,2,13,7,1,1,12,1,3,0,3,1,9,4,0,0,0,6,2,1,0,2,3,1,2,0,0,1,0,5,6,3,1,1,12,2,2,0,9,1,2,4,0,2,2,0,1,4,5,1,4,2,3,0,1,17,4,1,10,0,1,3,1,5,1,1,1,5,3,1,0,0,3,0,0,4,0,0,0,3,0,4,1,2,5,5,0,6,0,5,1,7,1,2,2,0,0,1,1,1,0,0,1,1,4,0,3,0,8,2,1,2,5,19,0,15,4,0,2,6,3,0,2,1,4,0,1,0,1,0,4,0,1,0,6,5,5,5,7,0,3,1,2,19,3,0,1,4,0,3,0,1,12,0,2,5,2,0,5,1,2,2,1,2,0,0,5,7,1,1,3,0,0,1,8,0,0,0,1,2,0,1,1,7,4,2,0,0,1,2,8,6,4,1,5,0,8,2,0,0,3,2,2,1,1,7,1,5,2,2,1,7,2,2,3,2,6,0,5,2,1,0,0,1,0,0,0,8,4,6,1,6,2,1,1,0,5,93,1,0,0,5,0,0,5,2,0,2,4,1,24,8,7,0,1,0
0,2,0,0,2,0,1,2,0,5,0,0,0,0,2,1,1,2,0,1,0,1,3,0,1,0,0,3,0,1,0,4,0,5,3,1,0,2,2,0,0,1,0,3,1,0,0,1,0,2,0,3,3,0,1,3,0,2,3,1,0,1,0,0,1,0,0,3,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,3,1,4,1,0,1,0,0,0,1,0,2,0,1,1,3,0,0,0,0,1,0,0,1,4,0,0,0,0,2,1,0,0,1,0,0,3,1,0,0,0,1,2,1,0,2,1,1,1,4,1,0,1,0,1,2,0,0,0,0,1,0,2,2,0,2,0,2,0,3,0,0,2,0,3,0,0,3,6,1,3,0,1,2,0,2,0,0,1,6,0,0,0,2,1,0,0,0,1,1,0,0,4,0,0,0,2,3,2,0,1,0,3,1,1,4,2,0,2,0,0,0,2,3,3,0,3,1,0,2,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,8,0,16,0,0,0,0,0,1,1,0,0,2,3,0,6,1,1,0,0,1
0,0,2,0,7,4,4,1,4,4,0,1,1,1,2,0,1,0,0,1,4,1,0,0,3,2,3,0,0,0,0,2,1,1,1,1,0,1,1,0,1,1,1,1,2,0,0,1,1,0,4,2,2,1,0,1,1,1,0,0,0,4,0,0,1,0,0,3,1,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,2,0,1,5,1,0,0,0,0,2,2,0,2,0,0,1,0,2,1,1,0,1,0,3,1,0,0,0,0,1,1,0,1,0,0,2,0,2,2,1,1,0,1,1,4,2,0,1,0,1,2,0,0,0,2,0,5,5,2,2,0,1,0,2,0,0,1,0,1,0,0,1,0,0,2,0,1,0,0,0,1,1,1,1,0,1,2,0,1,0,0,0,1,1,0,0,2,1,0,0,4,9,2,0,1,0,0,0,2,6,0,3,0,1,1,4,0,1,1,0,0,0,0,0,3,0,1,0,0,0,2,1,0,1,1,4,0,1,0,0,0,0,0,2,0,0,1,1,4,6,3,0,3,3,3,0,41,1,1,0,2,0,0,1,3,0,0,2,1,17,1,10,0,0,1
0,0,0,0,2,3,4,1,2,3,0,3,0,1,2,1,1,1,0,0,2,1,0,0,2,1,0,3,0,2,1,1,0,2,4,5,0,5,3,2,0,1,0,0,2,0,0,1,1,1,3,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,2,0,2,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,2,1,3,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,9,0,2,1,0,0,0,2,1,0,0,1,0,0,0,0,2,0,3,0,3,0,5,0,0,1,3,0,2,0,0,2,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,8,3,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,1,1,0,1,1,0,1,0,0,2,1,4,2,0,1,1,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,4,1,0,1,0,2,6,5,0,3,0,1,0,34,0,1,0,0,0,4,0,3,0,0,1,11,5,3,2,2,0,1
1,0,2,5,1,3,0,1,3,3,0,3,0,1,5,1,2,1,1,1,2,2,3,3,2,2,3,5,1,1,0,3,8,2,3,1,3,2,1,0,2,1,2,2,4,0,1,2,2,2,6,2,1,2,2,2,0,3,5,1,1,5,0,1,5,1,3,4,0,1,3,3,4,0,2,1,0,0,1,1,1,0,3,0,2,0,0,2,2,1,1,0,5,6,1,2,2,1,0,0,0,3,0,2,1,1,2,4,0,0,1,1,2,1,0,3,4,0,7,2,1,0,6,3,1,1,0,1,4,1,0,0,2,3,0,0,1,6,6,2,3,3,0,4,0,2,4,2,0,2,1,0,2,0,2,6,0,3,4,1,0,1,0,2,3,1,3,1,0,2,4,1,2,0,0,1,1,1,0,1,2,1,0,0,0,3,4,0,1,1,2,0,0,1,3,5,2,3,0,6,2,0,0,6,2,2,3,10,2,0,1,3,1,2,5,0,1,0,1,1,2,4,0,1,1,1,1,1,0,0,2,0,2,1,2,0,4,0,1,2,37,0,0,0,4,0,1,4,2,0,1,4,2,13,0,8,3,0,0
0,1,0,4,2,2,3,2,8,4,1,5,0,0,2,1,1,0,0,0,1,1,0,0,3,5,0,1,0,3,2,3,2,1,1,1,0,5,13,0,1,2,1,0,0,0,0,3,1,2,4,0,2,0,1,2,0,1,0,0,1,5,0,0,3,0,2,2,0,2,1,0,0,0,1,0,2,1,1,0,0,0,2,0,2,0,1,4,1,0,2,0,2,2,1,1,3,0,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,1,2,1,2,1,1,3,1,0,1,0,1,1,0,1,5,0,0,1,0,0,5,0,0,0,0,2,0,1,2,1,4,0,0,0,0,0,1,1,0,1,0,0,0,1,0,3,0,1,0,3,3,0,0,1,1,0,0,2,0,2,0,0,1,0,0,1,2,3,2,1,0,0,7,0,0,0,2,1,3,1,1,0,0,2,3,2,0,1,1,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,3,3,37,0,1,2,1,0,4,1,3,0,1,2,5,2,0,4,0,0,1
